No,Time,Event,C:None,C:class-78...,C:class-91...,C:class-9a...,C:class-a1...,C:class-c6...,I:car-1,I:instance...,I:instance...,I:instance...,I:instance...,I:instance...,I:instance...,I:instance...,I:instance...,I:instance...,I:instance...,I:instance...,I:instance...,I:instance...,I:instance...,I:tomato-1
58,11:00:15,instance.created_from_class,,,🎭➡️ Created Car,,,,,,,,,,,,,,,,,,,
59,11:00:46,instance.create_from_class.started,,,📝 instance.create_from_class.started,,,,,,,,,,,,,,,,,,,
60,11:00:46,instance.created_from_class,,,🎭➡️ Created Car,,,,,,,,,,,,,,,,,,,
61,11:01:00,instance_selected,,,📝 instance_selected,,,,,,,,,,,,,,,,,,,
62,11:01:24,instance.edit.started,,,,,,,,,,,,,,,,,,,,,,
63,11:01:46,instance.updated,,,,,,,,,,,,,,,,,,,,,,
64,11:01:46,instance_selected,,,📝 instance_selected,,,,,,,,,,,,,,,,,,,
65,11:03:04,class_detail_opened,,,📝 class_detail_opened,,,,,,,,,,,,,,,,,,,
66,11:03:13,object_node.edit.started,,,,,,,,,,,,,,,,,,,,,,
67,11:03:27,object_node.edit.cancelled,,,,,,,,,,,,,,,,,,,,,,
68,11:03:38,object_node.edit.started,,,,,,,,,,,,,,,,,,,,,,
69,11:03:43,object_node.edit.saved,🔧 car→direct,🔧 car→direct,🔧 car→direct,🔧 car→direct,🔧 car→direct,🔧 car→direct,🔧 car→direct,🔧 car→direct,🔧 car→direct,🔧 car→direct,🔧 car→direct,🔧 car→direct,🔧 car→direct,🔧 car→direct,🔧 car→direct,🔧 car→direct,🔧 car→direct,🔧 car→direct,🔧 car→direct,🔧 car→direct,🔧 car→direct,🔧 car→direct
70,11:03:43,object_node.edit.cancelled,,,,,,,,,,,,,,,,,,,,,,
71,11:03:46,instance_selected,,,📝 instance_selected,,,,,,,,,,,,,,,,,,,
72,11:04:33,instance.edit.started,,,,,,,,,,,,,,,,,,,,,,
73,11:04:54,instance.edit.started,,,,,,,,,,,,,,,,,,,,,,
74,11:06:00,instance.edit.started,,,,,,,,,,,,,,,,,,,,,,
75,11:06:05,instance.edit.started,,,,,,,,,,,,,,,,,,,,,,
76,11:06:12,instance.updated,,,,,,,,,,,,,,,,,,,,,,
77,11:06:12,instance_selected,,,📝 instance_selected,,,,,,,,,,,,,,,,,,,
78,11:06:20,class_library_toggle,,,,,,,,,,,,,,,,,,,,,,
79,11:06:22,instance_selected,,,📝 instance_selected,,,,,,,,,,,,,,,,,,,
80,11:06:25,instance.edit.started,,,,,,,,,,,,,,,,,,,,,,
81,11:06:28,instance_selected,,,📝 instance_selected,,,,,,,,,,,,,,,,,,,
82,11:07:02,instance.updated,,,,,,,,,,,,,,,,,,,,,,
83,11:07:02,instance_selected,,,📝 instance_selected,,,,,,,,,,,,,,,,,,,
